Date;Close
08/02/2022;307.333.344
09/02/2022;310.666.656
10/02/2022;301.516.663
11/02/2022;286.666.656
14/02/2022;291.920.013
15/02/2022;307.476.654
16/02/2022;307.796.661
17/02/2022;292.116.669
18/02/2022;285.660.004
22/02/2022;273.843.323
23/02/2022;254.679.993
24/02/2022;266.923.340
25/02/2022;269.956.665
28/02/2022;290.143.341
01/03/2022;288.123.322
02/03/2022;293.296.661
03/03/2022;279.763.336
04/03/2022;279.429.993
07/03/2022;268.193.329
08/03/2022;274.799.988
09/03/2022;286.323.334
10/03/2022;279.433.319
11/03/2022;265.116.669
14/03/2022;255.456.665
15/03/2022;267.296.661
16/03/2022;280.076.660
17/03/2022;290.533.325
18/03/2022;301.796.661
21/03/2022;307.053.345
22/03/2022;331.326.660
23/03/2022;333.036.682
24/03/2022;337.973.328
25/03/2022;336.880.005
28/03/2022;363.946.655
29/03/2022;366.523.346
30/03/2022;364.663.330
31/03/2022;359.200.012
01/04/2022;361.529.999
04/04/2022;381.816.681
05/04/2022;363.753.326
06/04/2022;348.586.670
07/04/2022;352.420.013
08/04/2022;341.829.987
11/04/2022;325.309.998
12/04/2022;328.983.337
13/04/2022;340.790.009
14/04/2022;328.333.344
18/04/2022;334.763.336
19/04/2022;342.716.675
20/04/2022;325.733.337
21/04/2022;336.260.010
22/04/2022;335.016.663
25/04/2022;332.673.340
26/04/2022;292.140.015
27/04/2022;293.836.670
28/04/2022;292.503.326
29/04/2022;290.253.326
02/05/2022;300.980.011
03/05/2022;303.083.344
04/05/2022;317.540.009
05/05/2022;291.093.323
06/05/2022;288.549.988
09/05/2022;262.369.995
10/05/2022;266.679.993
11/05/2022;244.666.672
12/05/2022;242.666.672
13/05/2022;256.529.999
16/05/2022;241.456.665
17/05/2022;253.869.995
18/05/2022;236.603.333
19/05/2022;236.473.328
20/05/2022;221.300.003
23/05/2022;224.966.660
24/05/2022;209.386.673
25/05/2022;219.600.006
26/05/2022;235.910.004
27/05/2022;253.210.007
